smi,adduct,ccs
CS(=O)(=O)c1ccc(C(O)C(CO)N=C(O)C(Cl)Cl)cc1,[M+H]+,170.69999999999996
NS(=O)(=O)Cc1noc2ccccc12,[M+H]+,141.9
Cc1cc2nc3c(O)nc(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)c2cc1C,[M-H]-,235.30000000000004
CC=CCC=CCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CC=CCCCC,[M-H]-,208.4
COc1cc(/C=C/C(=O)O)ccc1O,[M+H]+,128.8
CC(CCCC(C)(C)O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,[M-H]-,202.8
CC[C@@H](C(N)=O)N1CCCC1=O,[M+H]+,145.4
CC(O)=NCCCCCN,[M-H]-,131.8
CC=CCC=CCC=CCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CC=CCC=CCC=CC,[M-H]-,222.4
C[C@@H](O)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,[M+H]+,233.4
CC=CCC=CCC=CCC=CCC(=O)OCC(COC(=O)CC=CCC=CC)OC(=O)CC=CCC=CC,[M+NH4]+,226.5
O=c1cc(-c2ccc(O)cc2)oc2cc(OC3OC(CO)C(O)C(O)C3OC3OCC(O)(CO)C3O)cc(O)c12,[M+H]+,229.3
Oc1ccc2cc(O)ccc2c1,[M-H]-,137.16666666666669
CCC=CCC=CCC=CCCCCCCCC(=O)O,[M+H]+,171.0
O=P(O)(O)OCC1OC(n2cnc3c(O)nc(O)nc32)C(O)C1O,[M-H]-,164.7
CCCCCCCCCCC/C=C/CCC[C@@H](O)[C@@H](O)[C@H](CO)NC(C)=O,[M+H]+,198.0
CC1(C)SC2C(N=C(O)Cc3ccccc3)C(=O)N2C1C(=O)O,[M+H]+,174.9
CC(O)C(N)C(=O)O,[M-H]-,119.9
O=c1cc(-c2ccc(O)c(OC3OC(CO)C(O)C(O)C3O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,[M-H]-,235.80000000000004
O=P(O)(O)OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,[M-H]-,181.5
O=C(O)CN=C(O)c1ccccc1,[M+Na]+,151.5
N=C(O)N=C(O)Cc1ccccc1,[M+H]+,128.3
CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,[M+H]+,162.1
CC(C)=CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,[M-H]-,210.0
CSCC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)C[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)O)C(C)C)C(C)C,[M+H]+,390.2
CC(C)C[C@H](NC(=O)[C@@H]1CCCN(C(=O)[C@@H](NC(=O)[C@@H](N)CC(N)=O)C(C)C)C1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(=O)O,[M+H]+,272.2
CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,[M+Na]+,241.80000000000004
