smi,adduct,ccs
N=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(O)n1,[M+Na-2H]-,176.4
C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C[C@@H](C)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](C[C@@H](C)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H]1CCCN(C(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@@H](N)C[C@@H](C)O)C1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)O,[M+H]+,365.46
CC(N=C(O)CCC(N)C(=O)O)C(=O)O,[M-H]-,140.2
C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,[M+Na]+,210.1
O=CC(O)C1OC(=O)C(O)C1O,[M+Na]+,146.13333333333333
O=CC(OC1OC(CO)C(O)C(O)C1O)C(OC1OC(CO)C(O)C(O)C1O)C(OC1OC(CO)C(O)C(O)C1O)C(CO)OC1OC(CO)C(O)C(O)C1O,[M-H]-,248.6
Cn1c(=N)[nH]c2c(ncn2C2OC(CO)C(O)C2O)c1=O,[M+H]+,168.8
O=P(O)(O)OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,[M+H]+,175.4
Cn1c([N+](=O)[O-])cnc1COC(=N)O,[M+Na]+,149.2
CC(O)=NC(CCC(=O)O)C(=O)O,[M+Na-2H]-,142.35
COC1C(CO)OC(n2cnc3c(O)nc(=N)[nH]c32)C1O,[M-H]-,163.8
CC(O)=Nc1ccccc1,[M-H]-,124.2
CC(C)[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@@H](C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(C)C)C1,[M+H]+,325.5
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,[M-H]-,146.50333333333333
NC(CCCCN=C(O)CCCCC1SCC2N=C(O)NC21)C(=O)O,[M-H]-,184.30000000000004
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,[M+H]+,159.8
Cn1c(O)nc2ncn(C)c2c1=O,[M-H]-,133.2
CC(O)=NC(CCC(=O)O)C(=O)O,[M-H]-,138.0
Cc1ccc2c(c1)C(N=c1[nH]c(C(C)F)nc(=N)[nH]1)C(C)C2,[M+Na]+,174.6
CC1(C)SC2C(N=C(O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,[M-H]-,188.69999999999996
N=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OCCN)C(O)C2O)c(O)n1,[M-H]-,187.9
CC=CCC=CCC=CCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CC=CCC=CCC=CC,[M-H]-,211.0
CCC(N=C(O)CCC(N)C(=O)O)C(O)=NCC(=O)O,[M+H]+,165.5
CCC(C(=O)O)C1CCC(C)C(C(C)C(O)C(C)C(=O)C(CC)C2OC3(C=CC(O)C4(CCC(C)(C5CCC(O)(CC)C(C)O5)O4)O3)C(C)CC2C)O1,[M+Na]+,263.6
N=c1nc(O)c2c([nH]1)NCC1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CN21,[M-H]-,192.1
C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,[M+H-H2O]+,157.3
O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1,[M+Na]+,158.29666666666668
N=c1nc(O)c2nc(C(O)C(O)CO)cnc2[nH]1,[M-H]-,150.3
CC(O)=NC1C(O)OC(COP(=O)(O)O)C(O)C1O,[M-H]-,152.8
CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN(C(=O)[C@H](C)N)C1)C(=O)N[C@@H](CCCCN)C(=O)O,[M+H]+,300.0
O=C(/C=C/c1ccc(O)cc1)OC[C@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@@H]1O,[M-H]-,216.1
